tiempo	I(t)
10.090000	30.558831
10.100000	30.624781
10.110000	30.690844
10.120000	30.757019
10.130000	30.823307
10.140000	30.889707
10.150000	30.956221
10.160000	31.022848
10.170000	31.089588
10.180000	31.156441
10.190000	31.223408
10.200000	31.290489
10.210000	31.357684
10.220000	31.424993
10.230000	31.492416
10.240000	31.559953
10.250000	31.627605
10.260000	31.695372
10.270000	31.763253
10.280000	31.831250
10.290000	31.899361
10.300000	31.967588
10.310000	32.035931
10.320000	32.104389
10.330000	32.172963
10.340000	32.241653
10.350000	32.310459
10.360000	32.379381
10.370000	32.448420
10.380000	32.517575
10.390000	32.586847
10.400000	32.656236
10.410000	32.725742
10.420000	32.795365
10.430000	32.865106
10.440000	32.934964
10.450000	33.004940
10.460000	33.075034
10.470000	33.145245
10.480000	33.215575
10.490000	33.286024
10.500000	33.356591
10.510000	33.427276
10.520000	33.498080
10.530000	33.569004
10.540000	33.640046
10.550000	33.711208
10.560000	33.782489
10.570000	33.853890
10.580000	33.925410
10.590000	33.997051
10.600000	34.068811
10.610000	34.140692
10.620000	34.212693
10.630000	34.284815
10.640000	34.357058
10.650000	34.429421
10.660000	34.501906
10.670000	34.574512
10.680000	34.647239
10.690000	34.720088
10.700000	34.793058
10.710000	34.866150
10.720000	34.939365
10.730000	35.012701
10.740000	35.086160
10.750000	35.159741
10.760000	35.233446
10.770000	35.307272
10.780000	35.381222
10.790000	35.455295
10.800000	35.529492
10.810000	35.603812
10.820000	35.678255
10.830000	35.752822
10.840000	35.827514
10.850000	35.902329
10.860000	35.977269
10.870000	36.052333
10.880000	36.127521
10.890000	36.202835
10.900000	36.278273
10.910000	36.353837
10.920000	36.429526
10.930000	36.505340
10.940000	36.581280
10.950000	36.657345
10.960000	36.733537
10.970000	36.809854
10.980000	36.886298
10.990000	36.962868
11.000000	37.039565
11.010000	37.116389
11.020000	37.193339
11.030000	37.270416
11.040000	37.347621
11.050000	37.424953
11.060000	37.502413
11.070000	37.580000
11.080000	37.657715
11.090000	37.735558
11.100000	37.813529
11.110000	37.891629
11.120000	37.969857
11.130000	38.048214
11.140000	38.126700
11.150000	38.205315
11.160000	38.284059
11.170000	38.362932
11.180000	38.441935
11.190000	38.521067
11.200000	38.600329
11.210000	38.679721
11.220000	38.759244
11.230000	38.838897
11.240000	38.918680
11.250000	38.998594
11.260000	39.078638
11.270000	39.158814
11.280000	39.239120
11.290000	39.319558
11.300000	39.400128
11.310000	39.480829
11.320000	39.561662
11.330000	39.642627
11.340000	39.723724
11.350000	39.804953
11.360000	39.886315
11.370000	39.967809
11.380000	40.049436
11.390000	40.131196
11.400000	40.213089
11.410000	40.295116
11.420000	40.377276
11.430000	40.459569
11.440000	40.541996
11.450000	40.624557
11.460000	40.707252
11.470000	40.790082
11.480000	40.873046
11.490000	40.956144
11.500000	41.039377
11.510000	41.122746
11.520000	41.206249
11.530000	41.289887
11.540000	41.373661
11.550000	41.457570
11.560000	41.541616
11.570000	41.625797
11.580000	41.710114
11.590000	41.794567
11.600000	41.879157
11.610000	41.963883
11.620000	42.048746
11.630000	42.133746
11.640000	42.218883
11.650000	42.304157
11.660000	42.389568
11.670000	42.475118
11.680000	42.560804
11.690000	42.646629
11.700000	42.732592
11.710000	42.818693
11.720000	42.904932
11.730000	42.991310
11.740000	43.077826
11.750000	43.164481
11.760000	43.251276
11.770000	43.338209
11.780000	43.425282
11.790000	43.512495
11.800000	43.599847
11.810000	43.687339
11.820000	43.774971
11.830000	43.862743
11.840000	43.950655
11.850000	44.038708
11.860000	44.126902
11.870000	44.215236
11.880000	44.303712
11.890000	44.392329
11.900000	44.481087
11.910000	44.569986
11.920000	44.659027
11.930000	44.748210
11.940000	44.837535
11.950000	44.927002
11.960000	45.016612
11.970000	45.106364
11.980000	45.196258
11.990000	45.286296
12.000000	45.376476
12.010000	45.466800
12.020000	45.557266
12.030000	45.647877
12.040000	45.738630
12.050000	45.829528
12.060000	45.920570
12.070000	46.011756
12.080000	46.103086
12.090000	46.194560
12.100000	46.286179
12.110000	46.377943
12.120000	46.469852
12.130000	46.561906
12.140000	46.654105
12.150000	46.746450
12.160000	46.838940
12.170000	46.931576
12.180000	47.024358
12.190000	47.117286
12.200000	47.210361
12.210000	47.303581
12.220000	47.396949
12.230000	47.490463
12.240000	47.584124
12.250000	47.677932
12.260000	47.771887
12.270000	47.865990
12.280000	47.960240
12.290000	48.054638
12.300000	48.149184
12.310000	48.243878
12.320000	48.338720
12.330000	48.433711
12.340000	48.528850
12.350000	48.624138
12.360000	48.719575
12.370000	48.815160
12.380000	48.910895
12.390000	49.006779
12.400000	49.102813
12.410000	49.198997
12.420000	49.295330
12.430000	49.391814
12.440000	49.488447
12.450000	49.585231
12.460000	49.682165
12.470000	49.779251
12.480000	49.876486
12.490000	49.973873
12.500000	50.071411
12.510000	50.169101
12.520000	50.266942
12.530000	50.364934
12.540000	50.463078
12.550000	50.561375
12.560000	50.659823
12.570000	50.758424
12.580000	50.857177
12.590000	50.956082
12.600000	51.055141
12.610000	51.154352
12.620000	51.253717
12.630000	51.353235
12.640000	51.452906
12.650000	51.552730
12.660000	51.652709
12.670000	51.752841
12.680000	51.853128
12.690000	51.953569
12.700000	52.054164
12.710000	52.154913
12.720000	52.255818
12.730000	52.356877
12.740000	52.458091
12.750000	52.559461
12.760000	52.660985
12.770000	52.762666
12.780000	52.864502
12.790000	52.966493
12.800000	53.068641
12.810000	53.170945
12.820000	53.273405
12.830000	53.376022
12.840000	53.478796
12.850000	53.581726
12.860000	53.684813
12.870000	53.788057
12.880000	53.891458
12.890000	53.995017
12.900000	54.098734
12.910000	54.202608
12.920000	54.306640
12.930000	54.410830
12.940000	54.515179
12.950000	54.619686
12.960000	54.724351
12.970000	54.829175
12.980000	54.934158
12.990000	55.039300
13.000000	55.144601
13.010000	55.250061
13.020000	55.355681
13.030000	55.461461
13.040000	55.567400
13.050000	55.673500
13.060000	55.779759
13.070000	55.886179
13.080000	55.992759
13.090000	56.099500
13.100000	56.206401
13.110000	56.313464
13.120000	56.420687
13.130000	56.528072
13.140000	56.635618
13.150000	56.743326
13.160000	56.851195
13.170000	56.959226
13.180000	57.067419
13.190000	57.175774
13.200000	57.284292
13.210000	57.392972
13.220000	57.501815
13.230000	57.610820
13.240000	57.719989
13.250000	57.829320
13.260000	57.938815
13.270000	58.048473
13.280000	58.158295
13.290000	58.268280
13.300000	58.378429
13.310000	58.488743
13.320000	58.599220
13.330000	58.709862
13.340000	58.820668
13.350000	58.931639
13.360000	59.042775
13.370000	59.154075
13.380000	59.265541
13.390000	59.377172
13.400000	59.488968
13.410000	59.600930
13.420000	59.713058
13.430000	59.825351
13.440000	59.937811
13.450000	60.050436
13.460000	60.163228
13.470000	60.276187
13.480000	60.389312
13.490000	60.502603
13.500000	60.616062
13.510000	60.729688
13.520000	60.843481
13.530000	60.957441
13.540000	61.071569
13.550000	61.185864
13.560000	61.300328
13.570000	61.414959
13.580000	61.529759
13.590000	61.644726
13.600000	61.759863
13.610000	61.875167
13.620000	61.990641
13.630000	62.106283
13.640000	62.222094
13.650000	62.338075
13.660000	62.454225
13.670000	62.570544
13.680000	62.687033
13.690000	62.803692
13.700000	62.920520
13.710000	63.037519
13.720000	63.154688
13.730000	63.272027
13.740000	63.389536
13.750000	63.507217
13.760000	63.625068
13.770000	63.743090
13.780000	63.861283
13.790000	63.979647
13.800000	64.098183
13.810000	64.216891
13.820000	64.335769
13.830000	64.454820
13.840000	64.574043
13.850000	64.693438
13.860000	64.813005
13.870000	64.932744
13.880000	65.052656
13.890000	65.172741
13.900000	65.292999
13.910000	65.413429
13.920000	65.534033
13.930000	65.654810
13.940000	65.775760
13.950000	65.896884
