n	1.0e-04	1.0e-03	1.0e-02	1.0e-01	1.0e+00	1.0e+01	1.0e+02	1.0e+03	1.0e+04
102	0.666664	0.666645	0.666449	0.664495	0.645570	0.502463	0.156202	0.019794	0.002034	
103	0.666665	0.666645	0.666451	0.664516	0.645768	0.503667	0.157372	0.019983	0.002054	
104	0.666665	0.666645	0.666453	0.664537	0.645963	0.504854	0.158537	0.020171	0.002074	
105	0.666665	0.666646	0.666455	0.664557	0.646154	0.506024	0.159696	0.020359	0.002093	
106	0.666665	0.666646	0.666457	0.664577	0.646341	0.507177	0.160850	0.020547	0.002113	
107	0.666665	0.666646	0.666459	0.664596	0.646526	0.508314	0.161998	0.020734	0.002133	
108	0.666665	0.666646	0.666461	0.664615	0.646707	0.509434	0.163142	0.020922	0.002153	
109	0.666665	0.666646	0.666463	0.664634	0.646884	0.510539	0.164280	0.021110	0.002173	
110	0.666665	0.666646	0.666465	0.664653	0.647059	0.511628	0.165414	0.021297	0.002193	
111	0.666665	0.666647	0.666467	0.664671	0.647230	0.512702	0.166542	0.021485	0.002213	
112	0.666665	0.666647	0.666468	0.664688	0.647399	0.513761	0.167665	0.021672	0.002232	
113	0.666665	0.666647	0.666470	0.664706	0.647564	0.514806	0.168783	0.021859	0.002252	
114	0.666665	0.666647	0.666472	0.664723	0.647727	0.515837	0.169896	0.022046	0.002272	
115	0.666665	0.666647	0.666473	0.664740	0.647887	0.516854	0.171004	0.022233	0.002292	
116	0.666665	0.666648	0.666475	0.664756	0.648045	0.517857	0.172107	0.022420	0.002312	
117	0.666665	0.666648	0.666477	0.664773	0.648199	0.518847	0.173205	0.022607	0.002332	
118	0.666665	0.666648	0.666478	0.664789	0.648352	0.519824	0.174298	0.022793	0.002352	
119	0.666665	0.666648	0.666480	0.664804	0.648501	0.520788	0.175387	0.022980	0.002372	
120	0.666665	0.666648	0.666482	0.664820	0.648649	0.521739	0.176471	0.023166	0.002391	
121	0.666665	0.666648	0.666483	0.664835	0.648794	0.522678	0.177550	0.023352	0.002411	
122	0.666665	0.666648	0.666485	0.664850	0.648936	0.523605	0.178624	0.023538	0.002431	
123	0.666665	0.666649	0.666486	0.664865	0.649077	0.524520	0.179693	0.023725	0.002451	
