7.300000	4.048124113533e-02	4.047827808404e-02	3.703785927827e-07	7.850718362638e-12	7.407643067283e-07	7.407530171339e-07	7.407601037172e-07	3.703874162588e-07
7.400000	4.122832861080e-02	4.122526923261e-02	3.824193239836e-07	8.217619769615e-12	7.648461019350e-07	7.648342847264e-07	7.648417025008e-07	3.824285598242e-07
7.500000	4.198773556462e-02	4.198457740690e-02	3.947666284754e-07	8.598266661891e-12	7.895410561915e-07	7.895286916024e-07	7.895364529756e-07	3.947762921292e-07
7.600000	4.275960968325e-02	4.275635024335e-02	4.074267596659e-07	8.993070161902e-12	8.148616766863e-07	8.148487443593e-07	8.148568621101e-07	4.074368670438e-07
7.700000	4.354409828302e-02	4.354073500760e-02	4.204060520166e-07	9.402450846538e-12	8.408206327242e-07	8.408071116971e-07	8.408155989839e-07	4.204166195022e-07
7.800000	4.434134820899e-02	4.433787849340e-02	4.337109202580e-07	9.826838866811e-12	8.674307541560e-07	8.674166228478e-07	8.674254932176e-07	4.337219647183e-07
7.900000	4.515150573014e-02	4.514792691779e-02	4.473478585054e-07	1.026667406477e-11	8.947050296112e-07	8.946902658089e-07	8.946995332053e-07	4.473593973016e-07
8.000000	4.597471643080e-02	4.597102581249e-02	4.613234392736e-07	1.072240608740e-11	9.226566045275e-07	9.226411853710e-07	9.226508641438e-07	4.613354902725e-07
8.100000	4.681112509826e-02	4.680731991161e-02	4.756443123855e-07	1.119449449720e-11	9.512987789678e-07	9.512826809363e-07	9.512927858500e-07	4.756568939704e-07
8.200000	4.766087560662e-02	4.765695303543e-02	4.903172037724e-07	1.168340887928e-11	9.806450052200e-07	9.806282041177e-07	9.806387503607e-07	4.903303348543e-07
8.300000	4.852411079666e-02	4.852006797035e-02	5.053489141605e-07	1.218962894456e-11	1.010708885172e-06	1.010691356113e-06	1.010702359307e-06	5.053626141895e-07
8.400000	4.940097235195e-02	4.939680634490e-02	5.207463176425e-07	1.271364462892e-11	1.041504167454e-06	1.041485884848e-06	1.041497361056e-06	5.207606066195e-07
8.500000	5.029160067086e-02	5.028730850191e-02	5.365163601292e-07	1.325595618791e-11	1.073044744340e-06	1.073025681877e-06	1.073037647615e-06	5.365312586173e-07
8.600000	5.119613473478e-02	5.119171336664e-02	5.526660576775e-07	1.381707428676e-11	1.105344648409e-06	1.105324779045e-06	1.105337251289e-06	5.526815868137e-07
8.700000	5.211471197226e-02	5.211015831096e-02	5.692024946930e-07	1.439752008542e-11	1.138418048943e-06	1.138397344885e-06	1.138410341081e-06	5.692186762000e-07
8.800000	5.304746811921e-02	5.304277901357e-02	5.861328220010e-07	1.499782531821e-11	1.172279248076e-06	1.172257680765e-06	1.172271218841e-06	5.861496781994e-07
8.900000	5.399453707512e-02	5.398970931623e-02	6.034642547856e-07	1.561853236789e-11	1.206942676668e-06	1.206920216767e-06	1.206934315138e-06	6.034818086052e-07
9.000000	5.495605075524e-02	5.495108107598e-02	6.212040703904e-07	1.626019433371e-11	1.242422889908e-06	1.242399507282e-06	1.242414184866e-06	6.212223453830e-07
9.100000	5.593213893882e-02	5.592702401337e-02	6.393596059805e-07	1.692337509320e-11	1.278734562637e-06	1.278710226343e-06	1.278725502562e-06	6.393786263315e-07
9.200000	5.692292911338e-02	5.691766555677e-02	6.579382560598e-07	1.760864935725e-11	1.315892484385e-06	1.315867162652e-06	1.315883057450e-06	6.579580466005e-07
9.300000	5.792854631504e-02	5.792313068268e-02	6.769474698423e-07	1.831660271827e-11	1.353911554111e-06	1.353885214326e-06	1.353901748175e-06	6.769680560622e-07
9.400000	5.894911296484e-02	5.894354175215e-02	6.963947484735e-07	1.904783169091e-11	1.392806774646e-06	1.392779383339e-06	1.392796577250e-06	6.964161565325e-07
9.500000	5.998474870134e-02	5.997901834333e-02	7.162876420990e-07	1.980294374518e-11	1.432593246834e-06	1.432564769660e-06	1.432582645191e-06	7.163098988399e-07
9.600000	6.103557020919e-02	6.102967708011e-02	7.366337467773e-07	2.058255733145e-11	1.473286163351e-06	1.473256565077e-06	1.473275144346e-06	7.366568797379e-07
9.700000	6.210169104409e-02	6.209563145706e-02	7.574407012346e-07	2.138730189700e-11	1.514900802222e-06	1.514870046710e-06	1.514889352401e-06	7.574647386601e-07
9.800000	6.318322145390e-02	6.317699166063e-02	7.787161834577e-07	2.221781789382e-11	1.557452520001e-06	1.557420570190e-06	1.557440625567e-06	7.787411543132e-07
9.900000	6.428026819617e-02	6.427386438665e-02	8.004679071240e-07	2.307475677724e-11	1.600956744633e-06	1.600923562528e-06	1.600944391442e-06	8.004938411068e-07
10.000000	6.539293435209e-02	6.538635265435e-02	8.227036178652e-07	2.395878099501e-11	1.645428967983e-06	1.645394514634e-06	1.645416141536e-06	8.227305454171e-07
10.100000	6.652131913694e-02	6.651455561680e-02	8.454310893630e-07	2.487056396644e-11	1.690884738025e-06	1.690848973516e-06	1.690871423461e-06	8.454590416826e-07
10.200000	6.766551770717e-02	6.765856836810e-02	8.686581192742e-07	2.581079005129e-11	1.737339650693e-06	1.737302534122e-06	1.737325832787e-06	8.686871283295e-07
10.300000	6.882562096432e-02	6.881848174721e-02	8.923925249849e-07	2.678015450803e-11	1.784809341391e-06	1.784770830856e-06	1.784795004543e-06	8.924226235251e-07
10.400000	7.000171535562e-02	6.999438213873e-02	9.166421391902e-07	2.777936344097e-11	1.833309476149e-06	1.833269528734e-06	1.833294604383e-06	9.166733607583e-07
10.500000	7.119388267181e-02	7.118635127064e-02	9.414148052998e-07	2.880913373609e-11	1.882855742436e-06	1.882814314194e-06	1.882840319392e-06	9.414471842444e-07
10.600000	7.240219984196e-02	7.239446600920e-02	9.667183726670e-07	2.987019298504e-11	1.933463839620e-06	1.933420885556e-06	1.933447848547e-06	9.667519441544e-07
10.700000	7.362673872569e-02	7.361879815124e-02	9.925606916418e-07	3.096327939702e-11	1.985149469069e-06	1.985104943129e-06	1.985132892824e-06	9.925954916683e-07
10.800000	7.486756590284e-02	7.485941421382e-02	1.018949608446e-06	3.208914169821e-11	2.037928323907e-06	2.037882178959e-06	2.037911144943e-06	1.018985673849e-06
10.900000	7.612474246085e-02	7.611637522169e-02	1.045892959872e-06	3.324853901828e-11	2.091816078407e-06	2.091768266227e-06	2.091798278772e-06	1.045930328343e-06
11.000000	7.739832378002e-02	7.738973649257e-02	1.073398567802e-06	3.444224076378e-11	2.146828377030e-06	2.146778848289e-06	2.146809938361e-06	1.073437277896e-06
11.100000	7.868835931684e-02	7.867954742053e-02	1.101474233552e-06	3.567102647796e-11	2.202980823117e-06	2.202929527363e-06	2.202961726632e-06	1.101514324700e-06
11.200000	7.999489238566e-02	7.998585125773e-02	1.130127732038e-06	3.693568568680e-11	2.260288967216e-06	2.260235852863e-06	2.260269193711e-06	1.130169244561e-06
11.300000	8.131795993893e-02	8.130868489468e-02	1.159366805770e-06	3.823701773081e-11	2.318768295070e-06	2.318713309383e-06	2.318747824915e-06	1.159409780884e-06
11.400000	8.265759234624e-02	8.264807863932e-02	1.189199158667e-06	3.957583158240e-11	2.378434215253e-06	2.378377304332e-06	2.378413028381e-06	1.189243638499e-06
11.500000	8.401381317244e-02	8.400405599523e-02	1.219632449705e-06	4.095294564847e-11	2.439302046457e-06	2.439243155227e-06	2.439280122367e-06	1.219678477302e-06
11.600000	8.538663895514e-02	8.537663343918e-02	1.250674286391e-06	4.236918755802e-11	2.501387004449e-06	2.501326076644e-06	2.501364322194e-06	1.250721905729e-06
11.700000	8.677607898190e-02	8.676582019830e-02	1.282332218073e-06	4.382539393435e-11	2.564704188685e-06	2.564641166836e-06	2.564680726872e-06	1.282381474070e-06
11.800000	8.818213506730e-02	8.817161802732e-02	1.314613729089e-06	4.532241015190e-11	2.629268568603e-06	2.629203394025e-06	2.629244305385e-06	1.314664667612e-06
