tb	Rb
5.860000	2.907001
5.870000	2.906827
5.880000	2.906652
5.890000	2.906477
5.900000	2.906302
5.910000	2.906126
5.920000	2.905950
5.930000	2.905774
5.940000	2.905597
5.950000	2.905420
5.960000	2.905243
5.970000	2.905066
5.980000	2.904888
5.990000	2.904710
6.000000	2.904531
6.010000	2.904353
6.020000	2.904174
6.030000	2.903994
6.040000	2.903815
6.050000	2.903635
6.060000	2.903454
6.070000	2.903274
6.080000	2.903093
6.090000	2.902912
6.100000	2.902730
6.110000	2.902548
6.120000	2.902366
6.130000	2.902184
6.140000	2.902001
6.150000	2.901818
6.160000	2.901635
6.170000	2.901451
6.180000	2.901267
6.190000	2.901083
6.200000	2.900898
6.210000	2.900713
6.220000	2.900528
6.230000	2.900342
6.240000	2.900156
6.250000	2.899970
6.260000	2.899783
6.270000	2.899596
6.280000	2.899409
6.290000	2.899222
6.300000	2.899034
6.310000	2.898846
6.320000	2.898657
6.330000	2.898468
6.340000	2.898279
6.350000	2.898090
6.360000	2.897900
6.370000	2.897710
6.380000	2.897520
6.390000	2.897329
6.400000	2.897138
6.410000	2.896946
6.420000	2.896755
6.430000	2.896563
6.440000	2.896370
6.450000	2.896178
6.460000	2.895985
6.470000	2.895791
6.480000	2.895597
6.490000	2.895403
6.500000	2.895209
6.510000	2.895014
6.520000	2.894819
6.530000	2.894624
6.540000	2.894428
6.550000	2.894232
6.560000	2.894036
6.570000	2.893840
6.580000	2.893643
6.590000	2.893445
6.600000	2.893248
6.610000	2.893050
6.620000	2.892851
6.630000	2.892653
6.640000	2.892454
6.650000	2.892254
6.660000	2.892055
6.670000	2.891855
6.680000	2.891654
6.690000	2.891454
6.700000	2.891253
6.710000	2.891051
6.720000	2.890849
6.730000	2.890647
6.740000	2.890445
6.750000	2.890242
6.760000	2.890039
6.770000	2.889836
6.780000	2.889632
6.790000	2.889428
6.800000	2.889224
6.810000	2.889019
6.820000	2.888814
6.830000	2.888608
6.840000	2.888403
6.850000	2.888196
6.860000	2.887990
6.870000	2.887783
6.880000	2.887576
6.890000	2.887368
6.900000	2.887161
6.910000	2.886952
6.920000	2.886744
6.930000	2.886535
6.940000	2.886326
6.950000	2.886116
6.960000	2.885906
6.970000	2.885696
6.980000	2.885485
6.990000	2.885274
7.000000	2.885063
7.010000	2.884851
7.020000	2.884639
7.030000	2.884426
7.040000	2.884214
7.050000	2.884001
7.060000	2.883787
7.070000	2.883573
7.080000	2.883359
7.090000	2.883145
7.100000	2.882930
7.110000	2.882714
7.120000	2.882499
7.130000	2.882283
7.140000	2.882066
7.150000	2.881850
7.160000	2.881633
7.170000	2.881415
7.180000	2.881198
7.190000	2.880979
7.200000	2.880761
7.210000	2.880542
7.220000	2.880323
7.230000	2.880103
7.240000	2.879883
7.250000	2.879663
7.260000	2.879442
7.270000	2.879221
7.280000	2.879000
7.290000	2.878778
7.300000	2.878556
7.310000	2.878334
7.320000	2.878111
7.330000	2.877888
7.340000	2.877664
7.350000	2.877440
7.360000	2.877216
7.370000	2.876991
7.380000	2.876766
7.390000	2.876541
7.400000	2.876315
7.410000	2.876089
7.420000	2.875862
7.430000	2.875635
7.440000	2.875408
7.450000	2.875180
7.460000	2.874952
7.470000	2.874724
7.480000	2.874495
7.490000	2.874266
7.500000	2.874037
7.510000	2.873807
7.520000	2.873577
7.530000	2.873346
7.540000	2.873115
7.550000	2.872884
7.560000	2.872652
7.570000	2.872420
7.580000	2.872187
7.590000	2.871954
7.600000	2.871721
7.610000	2.871487
7.620000	2.871253
7.630000	2.871019
7.640000	2.870784
7.650000	2.870549
7.660000	2.870314
7.670000	2.870078
7.680000	2.869841
7.690000	2.869605
7.700000	2.869368
7.710000	2.869130
7.720000	2.868892
7.730000	2.868654
7.740000	2.868415
7.750000	2.868177
7.760000	2.867937
7.770000	2.867697
7.780000	2.867457
7.790000	2.867217
7.800000	2.866976
7.810000	2.866735
7.820000	2.866493
7.830000	2.866251
7.840000	2.866008
7.850000	2.865765
7.860000	2.865522
7.870000	2.865279
7.880000	2.865035
7.890000	2.864790
7.900000	2.864545
7.910000	2.864300
7.920000	2.864055
7.930000	2.863809
7.940000	2.863562
7.950000	2.863315
7.960000	2.863068
7.970000	2.862821
7.980000	2.862573
7.990000	2.862324
8.000000	2.862076
8.010000	2.861827
8.020000	2.861577
8.030000	2.861327
8.040000	2.861077
8.050000	2.860826
8.060000	2.860575
8.070000	2.860323
8.080000	2.860071
8.090000	2.859819
8.100000	2.859566
8.110000	2.859313
8.120000	2.859060
8.130000	2.858806
8.140000	2.858552
8.150000	2.858297
8.160000	2.858042
8.170000	2.857786
8.180000	2.857530
8.190000	2.857274
8.200000	2.857017
8.210000	2.856760
8.220000	2.856503
8.230000	2.856245
8.240000	2.855986
8.250000	2.855727
8.260000	2.855468
8.270000	2.855209
8.280000	2.854949
8.290000	2.854688
8.300000	2.854427
8.310000	2.854166
8.320000	2.853905
8.330000	2.853643
8.340000	2.853380
8.350000	2.853117
8.360000	2.852854
8.370000	2.852590
8.380000	2.852326
8.390000	2.852062
8.400000	2.851797
8.410000	2.851532
8.420000	2.851266
8.430000	2.851000
8.440000	2.850733
8.450000	2.850466
8.460000	2.850199
8.470000	2.849931
8.480000	2.849663
8.490000	2.849394
8.500000	2.849125
8.510000	2.848856
8.520000	2.848586
8.530000	2.848315
8.540000	2.848045
8.550000	2.847773
8.560000	2.847502
8.570000	2.847230
8.580000	2.846957
8.590000	2.846685
8.600000	2.846411
8.610000	2.846138
8.620000	2.845864
8.630000	2.845589
8.640000	2.845314
8.650000	2.845039
8.660000	2.844763
8.670000	2.844487
8.680000	2.844210
8.690000	2.843933
8.700000	2.843656
8.710000	2.843378
8.720000	2.843099
8.730000	2.842821
8.740000	2.842541
8.750000	2.842262
8.760000	2.841982
8.770000	2.841701
8.780000	2.841420
8.790000	2.841139
8.800000	2.840857
8.810000	2.840575
8.820000	2.840293
8.830000	2.840010
8.840000	2.839726
8.850000	2.839442
8.860000	2.839158
8.870000	2.838873
8.880000	2.838588
8.890000	2.838302
8.900000	2.838016
8.910000	2.837730
8.920000	2.837443
8.930000	2.837155
8.940000	2.836868
8.950000	2.836579
8.960000	2.836291
8.970000	2.836002
8.980000	2.835712
8.990000	2.835422
9.000000	2.835132
9.010000	2.834841
9.020000	2.834549
9.030000	2.834258
9.040000	2.833966
9.050000	2.833673
9.060000	2.833380
9.070000	2.833086
9.080000	2.832792
9.090000	2.832498
9.100000	2.832203
9.110000	2.831908
9.120000	2.831612
9.130000	2.831316
9.140000	2.831020
9.150000	2.830723
9.160000	2.830425
9.170000	2.830127
9.180000	2.829829
9.190000	2.829530
9.200000	2.829231
9.210000	2.828931
9.220000	2.828631
9.230000	2.828331
9.240000	2.828029
9.250000	2.827728
9.260000	2.827426
9.270000	2.827124
9.280000	2.826821
9.290000	2.826518
9.300000	2.826214
9.310000	2.825910
9.320000	2.825605
9.330000	2.825300
9.340000	2.824995
9.350000	2.824689
9.360000	2.824382
9.370000	2.824076
9.380000	2.823768
9.390000	2.823460
9.400000	2.823152
9.410000	2.822844
9.420000	2.822535
9.430000	2.822225
9.440000	2.821915
9.450000	2.821605
9.460000	2.821294
9.470000	2.820982
9.480000	2.820670
9.490000	2.820358
9.500000	2.820045
9.510000	2.819732
9.520000	2.819419
9.530000	2.819104
9.540000	2.818790
9.550000	2.818475
9.560000	2.818159
9.570000	2.817843
9.580000	2.817527
9.590000	2.817210
9.600000	2.816893
9.610000	2.816575
9.620000	2.816257
9.630000	2.815938
9.640000	2.815619
9.650000	2.815299
9.660000	2.814979
9.670000	2.814659
9.680000	2.814338
9.690000	2.814016
9.700000	2.813694
9.710000	2.813372
9.720000	2.813049
9.730000	2.812726
9.740000	2.812402
9.750000	2.812078
9.760000	2.811753
9.770000	2.811428
9.780000	2.811103
9.790000	2.810776
9.800000	2.810450
9.810000	2.810123
9.820000	2.809795
9.830000	2.809467
9.840000	2.809139
9.850000	2.808810
9.860000	2.808481
9.870000	2.808151
9.880000	2.807821
9.890000	2.807490
9.900000	2.807159
9.910000	2.806827
9.920000	2.806495
9.930000	2.806162
9.940000	2.805829
9.950000	2.805496
9.960000	2.805162
9.970000	2.804827
9.980000	2.804492
9.990000	2.804157
10.000000	2.803821
10.010000	2.803484
10.020000	2.803147
10.030000	2.802810
10.040000	2.802472
10.050000	2.802134
10.060000	2.801795
10.070000	2.801456
10.080000	2.801116
10.090000	2.800776
10.100000	2.800435
10.110000	2.800094
10.120000	2.799753
10.130000	2.799411
10.140000	2.799068
10.150000	2.798725
10.160000	2.798382
10.170000	2.798038
10.180000	2.797693
10.190000	2.797348
10.200000	2.797003
10.210000	2.796657
10.220000	2.796311
10.230000	2.795964
10.240000	2.795616
10.250000	2.795269
10.260000	2.794920
10.270000	2.794572
