tiempo	I(t)
7.490000	0.042513
7.500000	0.042592
7.510000	0.042672
7.520000	0.042752
7.530000	0.042832
7.540000	0.042913
7.550000	0.042993
7.560000	0.043073
7.570000	0.043154
7.580000	0.043235
7.590000	0.043316
7.600000	0.043397
7.610000	0.043478
7.620000	0.043559
7.630000	0.043641
7.640000	0.043723
7.650000	0.043804
7.660000	0.043886
7.670000	0.043968
7.680000	0.044051
7.690000	0.044133
7.700000	0.044215
7.710000	0.044298
7.720000	0.044381
7.730000	0.044464
7.740000	0.044547
7.750000	0.044630
7.760000	0.044713
7.770000	0.044797
7.780000	0.044881
7.790000	0.044964
7.800000	0.045048
7.810000	0.045132
7.820000	0.045217
7.830000	0.045301
7.840000	0.045385
7.850000	0.045470
7.860000	0.045555
7.870000	0.045640
7.880000	0.045725
7.890000	0.045810
7.900000	0.045896
7.910000	0.045981
7.920000	0.046067
7.930000	0.046153
7.940000	0.046239
7.950000	0.046325
7.960000	0.046411
7.970000	0.046498
7.980000	0.046584
7.990000	0.046671
8.000000	0.046758
8.010000	0.046845
8.020000	0.046932
8.030000	0.047019
8.040000	0.047107
8.050000	0.047194
8.060000	0.047282
8.070000	0.047370
8.080000	0.047458
8.090000	0.047546
8.100000	0.047635
8.110000	0.047723
8.120000	0.047812
8.130000	0.047901
8.140000	0.047990
8.150000	0.048079
8.160000	0.048168
8.170000	0.048258
8.180000	0.048347
8.190000	0.048437
8.200000	0.048527
8.210000	0.048617
8.220000	0.048707
8.230000	0.048798
8.240000	0.048888
8.250000	0.048979
8.260000	0.049070
8.270000	0.049161
8.280000	0.049252
8.290000	0.049343
8.300000	0.049435
8.310000	0.049526
8.320000	0.049618
8.330000	0.049710
8.340000	0.049802
8.350000	0.049894
8.360000	0.049987
8.370000	0.050079
8.380000	0.050172
8.390000	0.050265
8.400000	0.050358
8.410000	0.050451
8.420000	0.050544
8.430000	0.050638
8.440000	0.050732
8.450000	0.050825
8.460000	0.050919
8.470000	0.051014
8.480000	0.051108
8.490000	0.051202
8.500000	0.051297
8.510000	0.051392
8.520000	0.051487
8.530000	0.051582
8.540000	0.051677
8.550000	0.051772
8.560000	0.051868
8.570000	0.051964
8.580000	0.052060
8.590000	0.052156
8.600000	0.052252
8.610000	0.052348
8.620000	0.052445
8.630000	0.052542
8.640000	0.052639
8.650000	0.052736
8.660000	0.052833
8.670000	0.052930
8.680000	0.053028
8.690000	0.053125
8.700000	0.053223
8.710000	0.053321
8.720000	0.053420
8.730000	0.053518
8.740000	0.053616
8.750000	0.053715
8.760000	0.053814
8.770000	0.053913
8.780000	0.054012
8.790000	0.054112
8.800000	0.054211
8.810000	0.054311
8.820000	0.054411
8.830000	0.054511
8.840000	0.054611
8.850000	0.054711
8.860000	0.054812
8.870000	0.054912
8.880000	0.055013
8.890000	0.055114
8.900000	0.055215
8.910000	0.055317
8.920000	0.055418
8.930000	0.055520
8.940000	0.055622
8.950000	0.055724
8.960000	0.055826
8.970000	0.055929
8.980000	0.056031
8.990000	0.056134
9.000000	0.056237
9.010000	0.056340
9.020000	0.056443
9.030000	0.056547
9.040000	0.056650
9.050000	0.056754
9.060000	0.056858
9.070000	0.056962
9.080000	0.057066
9.090000	0.057171
9.100000	0.057275
9.110000	0.057380
9.120000	0.057485
9.130000	0.057590
9.140000	0.057696
9.150000	0.057801
9.160000	0.057907
9.170000	0.058013
9.180000	0.058119
9.190000	0.058225
9.200000	0.058331
9.210000	0.058438
9.220000	0.058544
9.230000	0.058651
9.240000	0.058758
9.250000	0.058866
9.260000	0.058973
9.270000	0.059081
9.280000	0.059188
9.290000	0.059296
9.300000	0.059404
9.310000	0.059513
9.320000	0.059621
9.330000	0.059730
9.340000	0.059839
9.350000	0.059948
9.360000	0.060057
9.370000	0.060166
9.380000	0.060276
9.390000	0.060386
9.400000	0.060496
9.410000	0.060606
9.420000	0.060716
9.430000	0.060826
9.440000	0.060937
9.450000	0.061048
9.460000	0.061159
9.470000	0.061270
9.480000	0.061381
9.490000	0.061493
9.500000	0.061605
9.510000	0.061717
9.520000	0.061829
9.530000	0.061941
9.540000	0.062054
9.550000	0.062166
9.560000	0.062279
9.570000	0.062392
9.580000	0.062505
9.590000	0.062619
9.600000	0.062732
9.610000	0.062846
9.620000	0.062960
9.630000	0.063074
9.640000	0.063188
9.650000	0.063303
9.660000	0.063417
9.670000	0.063532
9.680000	0.063647
9.690000	0.063763
9.700000	0.063878
9.710000	0.063994
9.720000	0.064109
9.730000	0.064225
9.740000	0.064342
9.750000	0.064458
9.760000	0.064574
9.770000	0.064691
9.780000	0.064808
9.790000	0.064925
9.800000	0.065043
9.810000	0.065160
9.820000	0.065278
9.830000	0.065396
9.840000	0.065514
9.850000	0.065632
9.860000	0.065750
9.870000	0.065869
9.880000	0.065988
9.890000	0.066107
9.900000	0.066226
9.910000	0.066345
9.920000	0.066465
9.930000	0.066585
9.940000	0.066705
9.950000	0.066825
9.960000	0.066945
9.970000	0.067066
9.980000	0.067186
9.990000	0.067307
10.000000	0.067428
10.010000	0.067550
10.020000	0.067671
10.030000	0.067793
10.040000	0.067915
10.050000	0.068037
10.060000	0.068159
10.070000	0.068282
10.080000	0.068404
10.090000	0.068527
10.100000	0.068650
10.110000	0.068774
10.120000	0.068897
10.130000	0.069021
10.140000	0.069145
10.150000	0.069269
10.160000	0.069393
10.170000	0.069517
10.180000	0.069642
10.190000	0.069767
10.200000	0.069892
10.210000	0.070017
10.220000	0.070142
10.230000	0.070268
10.240000	0.070394
10.250000	0.070520
10.260000	0.070646
10.270000	0.070773
10.280000	0.070899
10.290000	0.071026
10.300000	0.071153
10.310000	0.071280
10.320000	0.071408
10.330000	0.071535
10.340000	0.071663
10.350000	0.071791
10.360000	0.071919
10.370000	0.072048
10.380000	0.072176
10.390000	0.072305
10.400000	0.072434
10.410000	0.072563
10.420000	0.072693
10.430000	0.072823
10.440000	0.072952
10.450000	0.073082
10.460000	0.073213
10.470000	0.073343
10.480000	0.073474
10.490000	0.073605
10.500000	0.073736
10.510000	0.073867
10.520000	0.073998
10.530000	0.074130
10.540000	0.074262
10.550000	0.074394
10.560000	0.074526
10.570000	0.074659
10.580000	0.074792
10.590000	0.074924
10.600000	0.075058
10.610000	0.075191
10.620000	0.075324
10.630000	0.075458
10.640000	0.075592
10.650000	0.075726
10.660000	0.075861
10.670000	0.075995
10.680000	0.076130
10.690000	0.076265
10.700000	0.076400
10.710000	0.076535
10.720000	0.076671
10.730000	0.076807
10.740000	0.076943
10.750000	0.077079
10.760000	0.077216
10.770000	0.077352
10.780000	0.077489
10.790000	0.077626
10.800000	0.077763
10.810000	0.077901
10.820000	0.078039
10.830000	0.078176
10.840000	0.078315
10.850000	0.078453
10.860000	0.078591
10.870000	0.078730
10.880000	0.078869
10.890000	0.079008
10.900000	0.079148
10.910000	0.079287
10.920000	0.079427
10.930000	0.079567
10.940000	0.079708
10.950000	0.079848
10.960000	0.079989
10.970000	0.080130
10.980000	0.080271
10.990000	0.080412
11.000000	0.080553
11.010000	0.080695
11.020000	0.080837
11.030000	0.080979
11.040000	0.081122
11.050000	0.081264
11.060000	0.081407
11.070000	0.081550
11.080000	0.081694
11.090000	0.081837
11.100000	0.081981
11.110000	0.082125
11.120000	0.082269
11.130000	0.082413
11.140000	0.082558
11.150000	0.082702
11.160000	0.082847
11.170000	0.082993
11.180000	0.083138
11.190000	0.083284
11.200000	0.083430
11.210000	0.083576
11.220000	0.083722
11.230000	0.083868
11.240000	0.084015
11.250000	0.084162
11.260000	0.084309
11.270000	0.084457
11.280000	0.084604
11.290000	0.084752
11.300000	0.084900
11.310000	0.085049
11.320000	0.085197
11.330000	0.085346
11.340000	0.085495
11.350000	0.085644
11.360000	0.085793
11.370000	0.085943
11.380000	0.086093
11.390000	0.086243
11.400000	0.086393
11.410000	0.086544
