tb	Rc
4.850000	2.920614
4.860000	2.920460
4.870000	2.920306
4.880000	2.920152
4.890000	2.919997
4.900000	2.919842
4.910000	2.919687
4.920000	2.919531
4.930000	2.919375
4.940000	2.919219
4.950000	2.919062
4.960000	2.918906
4.970000	2.918749
4.980000	2.918591
4.990000	2.918434
5.000000	2.918276
5.010000	2.918118
5.020000	2.917959
5.030000	2.917801
5.040000	2.917642
5.050000	2.917482
5.060000	2.917323
5.070000	2.917163
5.080000	2.917003
5.090000	2.916843
5.100000	2.916682
5.110000	2.916521
5.120000	2.916360
5.130000	2.916198
5.140000	2.916036
5.150000	2.915874
5.160000	2.915712
5.170000	2.915549
5.180000	2.915386
5.190000	2.915223
5.200000	2.915060
5.210000	2.914896
5.220000	2.914732
5.230000	2.914567
5.240000	2.914402
5.250000	2.914237
5.260000	2.914072
5.270000	2.913907
5.280000	2.913741
5.290000	2.913575
5.300000	2.913408
5.310000	2.913241
5.320000	2.913074
5.330000	2.912907
5.340000	2.912739
5.350000	2.912571
5.360000	2.912403
5.370000	2.912235
5.380000	2.912066
5.390000	2.911897
5.400000	2.911727
5.410000	2.911558
5.420000	2.911388
5.430000	2.911217
5.440000	2.911047
5.450000	2.910876
5.460000	2.910705
5.470000	2.910533
5.480000	2.910361
5.490000	2.910189
5.500000	2.910017
5.510000	2.909844
5.520000	2.909671
5.530000	2.909498
5.540000	2.909324
5.550000	2.909150
5.560000	2.908976
5.570000	2.908802
5.580000	2.908627
5.590000	2.908452
5.600000	2.908276
5.610000	2.908101
5.620000	2.907924
5.630000	2.907748
5.640000	2.907571
5.650000	2.907394
5.660000	2.907217
5.670000	2.907040
5.680000	2.906862
5.690000	2.906683
5.700000	2.906505
5.710000	2.906326
5.720000	2.906147
5.730000	2.905967
5.740000	2.905788
5.750000	2.905608
5.760000	2.905427
5.770000	2.905246
5.780000	2.905065
5.790000	2.904884
5.800000	2.904702
5.810000	2.904520
5.820000	2.904338
5.830000	2.904156
5.840000	2.903973
5.850000	2.903789
5.860000	2.903606
5.870000	2.903422
5.880000	2.903238
5.890000	2.903053
5.900000	2.902868
5.910000	2.902683
5.920000	2.902498
5.930000	2.902312
5.940000	2.902126
5.950000	2.901939
5.960000	2.901753
5.970000	2.901566
5.980000	2.901378
5.990000	2.901190
6.000000	2.901002
6.010000	2.900814
6.020000	2.900625
6.030000	2.900436
6.040000	2.900247
6.050000	2.900057
6.060000	2.899867
6.070000	2.899677
6.080000	2.899486
6.090000	2.899295
6.100000	2.899104
6.110000	2.898912
6.120000	2.898720
6.130000	2.898528
6.140000	2.898335
6.150000	2.898142
6.160000	2.897949
6.170000	2.897755
6.180000	2.897561
6.190000	2.897367
6.200000	2.897172
6.210000	2.896978
6.220000	2.896782
6.230000	2.896587
6.240000	2.896391
6.250000	2.896194
6.260000	2.895998
6.270000	2.895801
6.280000	2.895603
6.290000	2.895406
6.300000	2.895208
6.310000	2.895009
6.320000	2.894811
6.330000	2.894612
6.340000	2.894412
6.350000	2.894213
6.360000	2.894013
6.370000	2.893812
6.380000	2.893611
6.390000	2.893410
6.400000	2.893209
6.410000	2.893007
6.420000	2.892805
6.430000	2.892603
6.440000	2.892400
6.450000	2.892197
6.460000	2.891993
6.470000	2.891790
6.480000	2.891585
6.490000	2.891381
6.500000	2.891176
6.510000	2.890971
6.520000	2.890765
6.530000	2.890559
6.540000	2.890353
6.550000	2.890147
6.560000	2.889940
6.570000	2.889732
6.580000	2.889525
6.590000	2.889317
6.600000	2.889108
6.610000	2.888900
6.620000	2.888691
6.630000	2.888481
6.640000	2.888271
6.650000	2.888061
6.660000	2.887851
6.670000	2.887640
6.680000	2.887429
6.690000	2.887217
6.700000	2.887005
6.710000	2.886793
6.720000	2.886581
6.730000	2.886368
6.740000	2.886154
6.750000	2.885941
6.760000	2.885727
6.770000	2.885512
6.780000	2.885297
6.790000	2.885082
6.800000	2.884867
6.810000	2.884651
6.820000	2.884435
6.830000	2.884218
6.840000	2.884001
6.850000	2.883784
